,顧客コード,お客様姓名,お客様姓名（カナ）,電話番号,生年月日,DM発送,性別,郵便番号,住所,結婚記念日,登録日,ランク,会員種別,家族名前,家族続柄,家族性別,家族生年月日
,0000122 ,中西淳,ナカニシジュン,090-1234-5678,2019/12/23,不可,男,468-0014,愛知県名古屋市天白区中平1-801,2019/12/23,,,,,,,
,0001    ,ABCABC,ABCABC,,2019/05/10,不可,男,500-8357,岐阜県岐阜市六条大溝4-4-4,2019/05/10,,,,,,,
★,001     ,明智小五郎,アケチコゴロウ,,2019/11/26,不可,男,468-0014,愛知県名古屋市天白区中平1801,2019/11/26,,,,,,,
★,005     ,テストタロウ,テスト太郎,,2019/05/10,不可,男,500-8357,岐阜県岐阜市六条大溝４４,2019/05/10,,,,,,,
,010     ,ABCTES,ABCTES,,2019/05/10,不可,男,500-8357,岐阜県岐阜市六条大溝444,2019/05/10,,,,,,,
,顧客コード,お客様姓名,お客様姓名（カナ）,電話番号,生年月日,DM発送,性別,郵便番号,住所,結婚記念日,登録日,ランク,会員種別,家族名前,家族続柄,家族性別,家族生年月日
,0000122 ,中西淳,ナカニシジュン,090-1234-5678,2019/12/23,不可,男,468-0014,愛知県名古屋市天白区中平1-801,2019/12/23,,,,,,,
,0001    ,ABCABC,ABCABC,,2019/05/10,不可,男,500-8357,岐阜県岐阜市六条大溝4-4-4,2019/05/10,,,,,,,
★,001     ,明智小五郎,アケチコゴロウ,,2019/11/26,不可,男,468-0014,愛知県名古屋市天白区中平1801,2019/11/26,,,,,,,
★,005     ,テストタロウ,テスト太郎,,2019/05/10,不可,男,500-8357,岐阜県岐阜市六条大溝４４,2019/05/10,,,,,,,
,010     ,ABCTES,ABCTES,,2019/05/10,不可,男,500-8357,岐阜県岐阜市六条大溝444,2019/05/10,,,,,,,
,顧客コード,お客様姓名,お客様姓名（カナ）,電話番号,生年月日,DM発送,性別,郵便番号,住所,結婚記念日,登録日,ランク,会員種別,家族名前,家族続柄,家族性別,家族生年月日
,0000122 ,中西淳,ナカニシジュン,090-1234-5678,2019/12/23,不可,男,468-0014,愛知県名古屋市天白区中平1-801,2019/12/23,,,,,,,
,0001    ,ABCABC,ABCABC,,2019/05/10,不可,男,500-8357,岐阜県岐阜市六条大溝4-4-4,2019/05/10,,,,,,,
★,001     ,明智小五郎,アケチコゴロウ,,2019/11/26,不可,男,468-0014,愛知県名古屋市天白区中平1801,2019/11/26,,,,,,,
★,005     ,テストタロウ,テスト太郎,,2019/05/10,不可,男,500-8357,岐阜県岐阜市六条大溝４４,2019/05/10,,,,,,,
,010     ,ABCTES,ABCTES,,2019/05/10,不可,男,500-8357,岐阜県岐阜市六条大溝444,2019/05/10,,,,,,,
,顧客コード,お客様姓名,お客様姓名（カナ）,電話番号,生年月日,DM発送,性別,郵便番号,住所,結婚記念日,登録日,ランク,会員種別,家族名前,家族続柄,家族性別,家族生年月日
,0000122 ,中西淳,ナカニシジュン,090-1234-5678,2019/12/23,不可,男,468-0014,愛知県名古屋市天白区中平1-801,2019/12/23,,,,,,,
,0001    ,ABCABC,ABCABC,,2019/05/10,不可,男,500-8357,岐阜県岐阜市六条大溝4-4-4,2019/05/10,,,,,,,
★,001     ,明智小五郎,アケチコゴロウ,,2019/11/26,不可,男,468-0014,愛知県名古屋市天白区中平1801,2019/11/26,,,,,,,
★,005     ,テストタロウ,テスト太郎,,2019/05/10,不可,男,500-8357,岐阜県岐阜市六条大溝４４,2019/05/10,,,,,,,
,010     ,ABCTES,ABCTES,,2019/05/10,不可,男,500-8357,岐阜県岐阜市六条大溝444,2019/05/10,,,,,,,
